الرقم,الفئة,العربية,الأمهرية,النطق
234,العائلة والأقارب,هل لديك عائلة كبيرة؟,ትልቅ ቤተሰብ አለህ,تيلق بيتيسب أله
235,العائلة والأقارب,نحن نتحدث كثيراً,ብዙ እናወራለን,بزُ إنأورالن
236,العائلة والأقارب,أنا الابن الأوسط,እኔ መካከለኛው ልጅ ነኝ,إني ميكاكلِنيو لِج نِني
237,العائلة والأقارب,أختي الكبرى تزوجت,ታላቅ እህቴ አግብታለች,تالاق إهتيه أجبتالش
238,العائلة والأقارب,أخي الصغير يلعب,ታናሽ ወንድሜ እየተጫወተ ነው,تاناش وندميه إيتّيتشاوّيت ناو
239,العائلة والأقارب,منزلي مليء بالحب,ቤቴ በፍቅር የተሞላ ነው,بيتيه بفقر يتيّيمولا ناو
240,العائلة والأقارب,أنا فخور بوالديّ,በወላጆቼ እኮራለሁ,بوِلاجوچيه إكوراليو
241,العائلة والأقارب,نحن نزور الأقارب في العطلات,በዓላት ላይ ዘመዶችን እንጠይቃለን,بعالات لاي زيمدوتشين إنطييقالن
242,العائلة والأقارب,كم عدد أفراد عائلتك؟,ስንት የቤተሰብ አባላት አላችሁ,سنت ييبيتيسب أبالات ألاتشو
243,العائلة والأقارب,لدينا اجتماع عائلي اليوم,ዛሬ የቤተሰብ ስብሰባ አለን,زاري ييبيتيسب سبسبا ألن
244,العائلة والأقارب,هل تحب عائلتك؟,ቤተሰብህን ትወዳለህ,بيتيسبهن تِويداليه
245,العائلة والأقارب,أطفالنا يلعبون في الحديقة,ልጆቻችን በአትክልቱ ውስጥ ይጫወታሉ,لِجوتشاتشين بأتّكلتو وست يتّشاوّيتالو
246,العائلة والأقارب,نحن نحترم كبار السن,ሽማግሌዎችን እናከብራለን,شماگلِووتشين إناكبرالن
247,العائلة والأقارب,جدتي مريضة قليلاً,አያቴ ትንሽ ታማለች,آياتيه تنش تامالش
248,العائلة والأقارب,أريد زيارة عماتي,አክስቶቼን መጎብኘት እፈልጋለሁ,أكستوتشين ميگوبِنيت إفِلّگاليو
249,العائلة والأقارب,ابن عمي يدرس الهندسة,የአጎቴ ልጅ ምህንድስና ያጠናል,يِأگوتيه لِج مهندسنا ياتونال
250,العائلة والأقارب,نحن نعيش في نفس الحي,በአንድ ሰፈር እንኖራለን,بأند سيفر إنورالن
251,العائلة والأقارب,والديّ مسافرون,ወላጆቼ እየተጓዙ ነው,وِلاجوچيه إيتّيگوازو ناو
252,العائلة والأقارب,من هي خالتك المفضلة؟,የምትወጂው አክስትሽ ማን ነች,يمتِوِجيِو أكستش مان نِتش
253,العائلة والأقارب,أنا أساعد أمي في المطبخ,እናቴን በኩሽና እረዳለሁ,إناتين بكوشنا إرِداليو
254,العائلة والأقارب,أخي يدرس في الجامعة,ወንድሜ ዩኒቨርሲቲ ይማራል,وندميه يونيفيرسيتي ييمارال
255,العائلة والأقارب,نحن نتشارك الغرفة,ክፍሉን እንጋራለን,كِفْلن إن گارالن
256,العائلة والأقارب,أنا أحب أجدادي كثيراً,አያቶቼን በጣም እወዳለሁ,آياتوتشين بيتم إويداليو
257,العائلة والأقارب,عائلتنا متحدة,ቤተሰባችን አንድ ነው,بيتيسباتشين أند ناو
258,العائلة والأقارب,لدينا عادات عائلية جميلة,ቆንጆ የቤተሰብ ልማዶች አሉን,قونجو ييبيتيسب لِمدوتش ألون
259,العائلة والأقارب,هل تفتقد عائلتك؟,ቤተሰብህን ትናፍቃለህ,بيتيسبهن تنافقاليه
260,العائلة والأقارب,نعم، أفتقدهم جداً,አዎ፣ በጣም ይናፍቁኛል,أوو، بيتم ينافقونِيال
261,العائلة والأقارب,متى ستزور أقاربك؟,ዘመዶችህን መቼ ትጠይቃለህ,زيمدوتشِهن مِتش تِطييقاليه
262,العائلة والأقارب,سنذهب إليهم غداً,ነገ ወደ እነሱ እንሄዳለን,نيگيه ويدي إنسو إنِهيدالن
263,العائلة والأقارب,من هو أقرب قريب لك؟,በጣም ቅርብ ዘመድህ ማን ነው,بيتم قرب زِمدِه مان ناو
264,العائلة والأقارب,أنا أحب أطفال أخي,የወንድሜን ልጆች እወዳለሁ,يِوِندمِين لِجوتش إويداليو
265,العائلة والأقارب,هل لديك عائلة زوج/زوجة؟,የትዳር ጓደኛ ቤተሰብ አለህ,يتِدار گاديّينا بيتيسب أله
266,العائلة والأقارب,والدا زوجتي طيبان,የባለቤቴ ወላጆች ደግ ናቸው,يباليبيتيه وِلاجوچ ديگ ناتشو
267,العائلة والأقارب,نحن نعيش في منزل واحد,በአንድ ቤት ውስጥ እንኖራለን,بأند بيت وست إنورالن
268,العائلة والأقارب,العائلة تأتي أولاً,ቤተሰብ ይቀድማል,بيتيسب يقدِمال
269,العائلة والأقارب,جدتي عمرها 90 عاماً,አያቴ ዘጠና ዓመቷ ነው,آياتيه زيتّينا أميتوا ناو
270,العائلة والأقارب,أخي الصغير مشاغب,ታናሽ ወንድሜ ተንኮለኛ ነው,تاناش وندميه تِنكولينيا ناو
271,العائلة والأقارب,أختي الكبرى مسؤولة,ታላቅ እህቴ ኃላፊነት አለባት,تالاق إهتيه حلافينيت ألبات
272,العائلة والأقارب,أريد أن أساعد والديّ,ወላጆቼን መርዳት እፈልጋለሁ,وِلاجوچين ميردات إفِلّگاليو
273,العائلة والأقارب,أمي تخبز كعكة,እናቴ ኬክ እየጋገረች ነው,إناتيه كيك إيگيگريتش ناو
274,العائلة والأقارب,والديّ متقاعدان,ወላጆቼ ጡረታ ወጥተዋል,وِلاجوچيه طوريتا وِطتِوال
275,العائلة والأقارب,نحن نذهب في نزهات عائلية,የቤተሰብሽርሽር እንሄዳለን,ييبيتيسب شرشر إنِهيدالن
276,العائلة والأقارب,من فضلك، سلّم على عائلتك,እባክህ ለቤተሰብህ ሰላም በል,إباكه لبيتيسبه سالام بل
277,العائلة والأقارب,أنا أفتخر بكوني منهم,የቤተሰቤ አካል በመሆኔ እኮራለሁ,بَيتي سِب تِلِق ناو (baeteseb tələq näw)
278,العائلة والأقارب,لدينا تاريخ عائلي طويل,ረጅም የቤተሰብ ታሪክ አለን,رجِم ييبيتيسب تاريخ ألن
279,العائلة والأقارب,ابنة عمي جميلة جداً,የአጎቴ ልጅ በጣም ቆንጆ ነች,يِأگوتيه لِج بيتم قونجو نِتش
280,العائلة والأقارب,أنا أزورهم كل شهر,በየወሩ እጠይቃቸዋለሁ,بِييوِرو إطييقاچِواليو
281,العائلة والأقارب,هل لديك أقارب في الخارج؟,በውጭ ዘመዶች አሉህ,بَوِتش زيمدوتش ألوه
282,العائلة والأقارب,أخواتي متزوجات,እህቶቼ አግብተዋል,إهتوتشيه أجبتِوال
283,العائلة والأقارب,إخوتي غير متزوجين,ወንድሞቼ አላገቡም,وندموتشيه ألاگبوم
284,العائلة والأقارب,نحن نتشاجر أحياناً,አንዳንድ ጊዜ እንጨቃጨቃለን,أِنداند گيزيه إنچِقّاچِقالن
285,العائلة والأقارب,لكننا نحب بعضنا البعض,ግን እርስ በእርስ እንዋደዳለን,گِن إرس بئرس إنوادِدالن
286,العائلة والأقارب,أمي هي بطلتي,እናቴ ጀግናዬ ናት,إناتيه جِگناييه نات
287,العائلة والأقارب,أبي يقرأ لي القصص,አባቴ ታሪኮችን ያነብልኛል,أباتيه تاريخوتشين يانبِلِنِيال
288,العائلة والأقارب,منزلي هو مكان آمن,ቤቴ አስተማማኝ ቦታ ነው,بيتيه أستيمامّاين بوتا ناو
289,العائلة والأقارب,أين يعيش عمك؟,አጎትህ የት ነው የሚኖረው,أگوتِه يت ناو يمينوراو
290,العائلة والأقارب,يعيش في مدينة أخرى,በሌላ ከተማ ይኖራል,بليلا كيتيما يِنورال
291,العائلة والأقارب,هل لديك أطفال صغار؟,ትናንሽ ልጆች አሉህ,تِنانش لِجوتش ألوه
292,العائلة والأقارب,سأذهب لأرى والديّ,ወላጆቼን ለማየት እሄዳለሁ,وِلاجوچين لمايت إِهيداليو
293,العائلة والأقارب,منزلي هو ملك عائلتي,ቤቴ የቤተሰቤ ንብረት ነው,بَيتي سِب تِلِق ناو (baeteseb tələq näw)
294,العائلة والأقارب,نحن نحافظ على تقاليدنا,ወጋችንን እንጠብቃለን,وِگاچِنن إنطِبقالن
295,العائلة والأقارب,أنا لا أنسى أبداً عائلتي,ቤተሰቤን ፈጽሞ አልረሳም,بيتيسبين فيصمو ألريسام
296,العائلة والأقارب,أنا أحب عائلتي الصغيرة,ትንሽ ቤተሰቤን እወዳለሁ,تنش بيتيسبين إويداليو
297,العائلة والأقارب,نحن نأكل الطعام الإثيوبي,የኢትዮጵያ ምግብ እንበላለን,ييإتيوپيا مغب إنبيلالن
298,العائلة والأقارب,جدتي تعد قهوة رائعة,አያቴ ምርጥ ቡና ታዘጋጃለች,آياتيه مرط بونا تازِگاِجالش
299,العائلة والأقارب,كل فرد في العائلة مهم,እያንዳንዱ የቤተሰብ አባል አስፈላጊ ነው,إِيانداند ييبيتيسب أبال أسِفِلاگي ناو
300,العائلة والأقارب,عيد الفصح هو احتفال عائلي,ፋሲካ የቤተሰብ በዓል ነው,فاسيكا ييبيتيسب بعال ناو
301,العائلة والأقارب,نحن نذهب إلى الكنيسة معاً,አንድ ላይ ቤተ ክርስቲያን እንሄዳለን,أند لاي بيتي كرستيان إنِهيدالن
302,العائلة والأقارب,أخي لديه طفل جديد,ወንድሜ አዲስ ልጅ አለው,وندميه أديس لِج ألو
303,العائلة والأقارب,أنا خالة/عمّة الآن,አክስት ነኝ አሁን,أكست نِني أهون
304,العائلة والأقارب,أنا خال/عم الآن,አጎት ነኝ አሁን,أگوت نِني أهون
305,العائلة والأقارب,عائلتنا هي دعمي,ቤተሰቤ ድጋፌ ነው,بَيتي سِب تِلِق ناو (baeteseb tələq näw)
306,العائلة والأقارب,نحن نزرع الزهور معاً,አብረን አበቦችን እንተክላለን,أبرِن أبِبوتشين إنتِكلالن
307,العائلة والأقارب,هل لديك ابن أخ/أخت؟,የእህት/ወንድም ልጅ አለህ,يإهت/وندم لِج أله
308,العائلة والأقارب,أنا أحب قضاء الوقت في الطبيعة معهم,ከእነሱ ጋር በተፈጥሮ ጊዜ ማሳለፍ እወዳለሁ,كإنسو گار بِتيفتِرو گيزيه ماسالِف إويداليو
309,العائلة والأقارب,والديّ مسنان,ወላጆቼ አርጅተዋል,وِلاجوچيه أرجِتِوال
310,العائلة والأقارب,نحن نعتني بهم,እንጠብቃቸዋለን,إنطِبقاچِوالن
311,العائلة والأقارب,أمي تعطيني نصيحة جيدة,እናቴ ጥሩ ምክር ትሰጠኛለች,إناتيه طرو مكر تِستِنيالش
312,العائلة والأقارب,أبي يعلمني الكثير,አባቴ ብዙ ያስተምረኛል,أباتيه بزُ ياستِمرِنِيال
313,العائلة والأقارب,نحن نتحدث باللغة الأمهرية,በአማርኛ እንነጋገራለን,بأمارِنيّا إنّينِگاگِرالن
314,العائلة والأقارب,هل أقاربك يزورونك؟,ዘመዶችህ ይጠይቁሃል,زيمدوتشِه يتّييقوهال
315,العائلة والأقارب,نعم، يأتون في كثير من الأحيان,አዎ፣ ብዙ ጊዜ ይመጣሉ,أوو، بزُ گيزيه يِمِطالو
316,العائلة والأقارب,نحن نلتقي كل عام,በየዓመቱ እንገናኛለን,بِييأمِتو إنّيگِنانِيالن
